title,grade,introduction,image_url,url,student
redis计数器与数量控制,入门,理解redis的设计目标、应用场景，redis的工作模式。,http://img.mukewang.com/5bd2aff70001de4906000338-240-135.jpg,,6600
iris+xorm Go语言开发球星库,中级,iris和xorm快速构建Web应用，Go设计开发球星库系统。,http://img1.mukewang.com/5bd01cf40001666806000338-240-135.jpg,,4135
Springboot 微信小程序 – 微信登录功能实战,初级,简单实现在小程序中对使用微信登录的方式来登录小程序应用,http://img2.mukewang.com/5bbf2def000118ab06000336-240-135.jpg,,28145
MAYA-角色走跑动画,入门,利用动画知识制作走跑行为,http://img3.mukewang.com/5bc0879f0001852905400300-240-135.jpg,,3065
Android性能优化之图片优化,中级,本次课为大家介绍android中如何进行图片的优化。,http://img3.mukewang.com/5bc8201500017bb306000338-240-135.jpg,,3960
2018 AWS技术峰会 人工智能分论坛,高级,AWS如何助力人工智能的商业应用落地中国，及AWS的机器学习平台介绍。,http://img4.mukewang.com/5bc6e6b80001434f06000338-240-135.jpg,,3504
移动界面设计,初级,伴随着移动互联网的发展，移动端界面设计是一名合格的设计师必备技能！,http://img3.mukewang.com/5bc552390001884602400135-240-135.jpg,,7302
React 16实现订单列表及评价功能,中级,以订单列表为案例，讲授React项目的开发流程,http://img.mukewang.com/5bc44d080001049906000338-240-135.jpg,,7013
Flink入门,入门,Flink快速入门，主要介绍Flink的架构/组件/安装以及入门程序编写。,http://img3.mukewang.com/5bbabc240001d88e05400300-240-135.jpg,,5783
使用Beego构建完整web项目,初级,快速入门应用Beego框架搭建web项目,http://img3.mukewang.com/5bbc52f60001d1be06000338-240-135.jpg,,5969
Spring Boot 2.0深度实践之系列总览,高级,Spring Boot2.0深度实践系列课程总览,http://img.mukewang.com/5bbafd180001688d06000338-240-135.jpg,,18768
REST API 接口测试,初级,通过接口测试的概念，让你掌握rest风格的API接口规范,http://img.mukewang.com/5b9a01a40001fe1805400300-240-135.jpg,,12023
2018 AWS技术峰会 大数据分论坛,高级,快速了解AWS的数据分析能力。,http://img3.mukewang.com/5badc2980001ca6d06000338-240-135.jpg,,2228
优雅玩转Vim,初级,Vim--Linux 平台首选的编辑器。,http://img3.mukewang.com/5b9b4f6b0001130205400300-240-135.jpg,,11490
走进Python量化交易--入门篇,初级,从基础学习开启Python量化交易之路。,http://img2.mukewang.com/5ba2386600013d3705980337-240-135.jpg,,15688
Git入门,中级,命令行和图形界面工具两种形式的Git使用。,http://img2.mukewang.com/5ba0569c00010a4605400300-240-135.jpg,,29469
Python 异步任务队列 Celery 使用,中级,Python 异步任务队列神器 celery 的使用,http://img.mukewang.com/5b9f578c00011ee106000338-240-135.jpg,,5598
C4D灯管字设计实战案例,初级,结合案例讲解不同设计风格的展示方法，带你玩转高逼格的灯管字设计,http://img2.mukewang.com/5b9f24bb0001fb3706000338-240-135.jpg,,2404
Unity 3D 刚体实现平衡球游戏,初级,学习使用 Unity 的基础组件 Rigidbody实现平衡球小游戏,http://img1.mukewang.com/5b5d5b760001dd9506000338-240-135.jpg,,9442
MAYA-灯光渲染（下）,入门,本课程将会从零基础带你了解MAYA中AR灯光。,http://img3.mukewang.com/5b69142c0001d10705400300-240-135.jpg,,959
Keras入门,初级,深度学习快速入门最佳路径—Keras,http://img2.mukewang.com/5b9105800001288905400300-240-135.jpg,,5466
基于实例的 React16 傻瓜课程,初级,通过一系列简单有趣的例子，让你了解 React16 的基本概念和新特性,http://img4.mukewang.com/5b8e323900017f7406000338-240-135.jpg,,10782
Kafka流处理平台,中级,作为模块解耦和大数据处理黏合剂的不二之选Kafka，你值得拥有！,http://img3.mukewang.com/5b8ce427000121b406000338-240-135.jpg,,18472
Spring Boot 发送邮件,中级,通过这个课程你将学会如何通过 Spring Boot 设计邮件系统,http://img1.mukewang.com/5b88e7f90001104e06000338-240-135.jpg,,9524
RabbitMQ消息中间件极速入门与实战,初级,入门RabbitMQ，并整合SpringBoot2.x，实现100%消息的可靠性投递！,http://img2.mukewang.com/5b86566a0001d31106000338-240-135.jpg,,21859
Caffe实战入门,中级,介绍Caffe的理论基础和实战经验，并通过用具体案例带大家快速上手Caffe,http://img.mukewang.com/5b7f737a0001cfb706000336-240-135.jpg,,4011
Swift之网络常见术语,初级,了解Swift网络客户端和服务端！,http://img1.mukewang.com/5b7fa5140001018505400300-240-135.jpg,,2715
Redis的Lua脚本编程,初级,学会Redis的Lua脚本编程如何使用！,http://img1.mukewang.com/5b7f6e6200014f0706000338-240-135.jpg,,5205
快速入门Web阅读器开发,中级,带你了解电子书阅读器的工作原理，通过Vue.js快速实现Web阅读器,http://img1.mukewang.com/5b7bfaa20001ec6006000338-240-135.jpg,,15510
MAYA-灯光渲染（上）,入门,本课程将会从零基础带你了解MAYA基础默认灯。,http://img2.mukewang.com/5b69143200016a1f05400300-240-135.jpg,,1739
短信验证,中级,带领大家掌握短信发送原理以及实战操作短信验证,http://img4.mukewang.com/5b5e8c7b0001e3fe06000338-240-135.jpg,,15817
低多边形（low poly）设计风格,初级,把工具的认知传递到案例中去，在分析案例的同时讲解工具。,http://img3.mukewang.com/5b7239540001c3f006000338-240-135.jpg,,2923
Android性能优化之布局优化,中级,介绍如何从布局角度优化Android app性能,http://img4.mukewang.com/5bc805ec0001ba4406000338-240-135.jpg,,6265
Flutter开发第一步-Dart编程语言入门,入门,Flutter开发语言-Dart编程入门，为大家上手及进阶Flutter打下坚实基础。,http://img1.mukewang.com/5b6947970001d34d06000338-240-135.jpg,,15042
Unity3D特效系统之基础篇,初级,华丽酷炫吊炸天的游戏特效究竟是如何做出来的？快让你的游戏DUANG起来~,http://img.mukewang.com/5b36da780001934605400300-240-135.jpg,,6275
web渗透测试入门,入门,简单轻松入门渗透测试,http://img2.mukewang.com/5b62867d0001d91106000338-240-135.jpg,,14183
python运维-Socket网络编程,入门,Socket网络编程入门,http://img4.mukewang.com/5b600be10001c67f06000338-240-135.jpg,,14944
个性化推荐算法实战入门必修课,中级,带您初窥个性化推荐算法落地实战的门径,http://img.mukewang.com/5b5d88e5000151ec06000338-240-135.jpg,,13965
iOS手机深度学习,高级,初识手机深度学习，掌握更高级研发技能。,http://img2.mukewang.com/5b5b00d10001d05205400300-240-135.jpg,,4798
MongoDB 4.0新特性,中级,介绍MongoDB 4.0推出的核心新特性,http://img1.mukewang.com/5b56e2ab000194d806000338-240-135.jpg,,6146
GO实现千万级WebSocket消息推送服务,中级,分布式高并发的弹幕架构揭秘，直播弹幕系统技术难点分析,http://img1.mukewang.com/5b55b3f400017b9906000338-240-135.jpg,,11324
React16.4 快速上手,初级,结合实例带你快速入门React16基础语法，并完成Todolist功能开发。,http://img.mukewang.com/5b4ed6590001d9ee06000338-240-135.jpg,,19810
私有区块链，我们一起GO,中级,用Go语言实现一个区块链私有链,http://img3.mukewang.com/5b4705c90001fc9506000338-240-135.jpg,,14058
机器学习中的统计学基础,初级,机器学习中的常用统计学知识点,http://img1.mukewang.com/5b470bfe0001cdbf06000338-240-135.jpg,,12547
UI动效基础与实践,入门,针对于ui工作过程当中所涉及到的动效设计需求及交付流程,http://img3.mukewang.com/5b4863e40001a8c506000338-240-135.jpg,,7615
《MAYA-场景设置》,入门,快速入门 MAYA场景设置,http://img.mukewang.com/5b33637d00016cbe05400300-240-135.jpg,,2080
《MAYA-Vary 渲染》,入门,Vray For Maya基础教学,http://img1.mukewang.com/5b3dec540001278406000338-240-135.jpg,,1311
高效测试计划实战,初级,制定好的测试计划，让测试工作更高效。,http://img3.mukewang.com/5b20d7dd000124da06000338-240-135.jpg,,6976
UE4 基础入门教程,入门,轻松入门虚幻引擎 UE4,http://img1.mukewang.com/5b14f0d3000189d206000338-240-135.jpg,,5801
C4D创意字母教程,初级,综合运用C4D知识，完成案例实践，提升设计技能！,http://img3.mukewang.com/5b39ca9100014d8605400300-240-135.jpg,,3728
Python最火爬虫框架Scrapy入门与实践,初级,做为爬虫工程师Python Scrapy主流爬虫框架你必须要会！,http://img3.mukewang.com/5b5188020001677306000338-240-135.jpg,,39874
MAYA四足动画,入门,根据老师所讲步骤一步一步学会四足动画的创建,http://img3.mukewang.com/5b1e49640001904606000338-240-135.jpg,,4295
Swift之基于CALayer的图形绘制,中级,了解CoreAnimation框架，掌握CALayer绘制实现方式。,http://img4.mukewang.com/5b3061210001550306000338-240-135.jpg,,1404
Retrofit网络库,初级,介绍Retrofit网络框架及其使用，并使用Retrofit完成用户登录案例。,http://img2.mukewang.com/5b289bbe0001fc4906000338-240-135.jpg,,6323
MAYA- NURBS曲线建模,入门,MAYA—2017NURBS曲线以及曲面工具的介绍,http://img.mukewang.com/5b14e8310001197706000338-240-135.jpg,,969
mobx入门基础教程,入门,"mobx框架基础入门,使用mobx做状态管理",http://img3.mukewang.com/5b28da010001930906000338-240-135.jpg,,13050
用GO语言构建自己的区块链,初级,区块链自己动手实现一把，啥都明白了。,http://img1.mukewang.com/5b2218750001370806000338-240-135.jpg,,14272
Crontab不知疲倦的时间表,初级,Crontab不知疲倦的时间表,http://img3.mukewang.com/5b1f61150001a20905400300-240-135.jpg,,4388
用Jenkins自动化搭建测试环境,入门,利用Jenkins实现测试环境的一键自动化部署。,http://img2.mukewang.com/5b1e0cfc0001ef7b06000338-240-135.jpg,,20100
C4D基础入门案例,入门,C4D，设计师进军三维视界的必备技能,http://img.mukewang.com/5b1dd1fa0001b70d06000338-240-135.jpg,,3945
PullToRefresh,初级,介绍APP中刷新和加载数据的解决方案，以及PullToRefresh框架如何使用,http://img1.mukewang.com/5b14d44b00014f9606000338-240-135.jpg,,4048
项目上线流程,中级,带领大家实现一个网站的上线流程。,http://img1.mukewang.com/5b14b0480001672706000338-240-135.jpg,,23941
从零做一个前端开源项目,高级,带你从零开始做一个前端开源项目，创建 github 主页、npm 主页和官网。,http://img.mukewang.com/5b14c8690001f5b406000338-240-135.jpg,,35801
HBase 存储原理剖析,高级,从底层存储架构分析HBase存储数据的原理,http://img2.mukewang.com/5b0248080001dcc306000338-240-135.jpg,,10738
iOS开发之LeanCloud,中级,掌握LeanCloud无须单独为应用开发后台。,http://img3.mukewang.com/5b052bca000137c006000338-240-135.jpg,,1984
Java9之模块系统,初级,实例驱动的Java 9平台模块系统实战开发,http://img1.mukewang.com/5b025dbd00015d1a06000338-240-135.jpg,,17097
Unity 3D 翻牌游戏开发,中级,"U3D制作扑克翻牌消除小游戏,玩法类似连连看，快来一起开发吧！",http://img4.mukewang.com/5b03eead0001196606000338-240-135.jpg,,8672
TensorFlow与Flask结合打造手写体数字识别,中级,TensorFlow和flask结合识别自己的手写体数字,http://img3.mukewang.com/5afe7ffa00018fff06000338-240-135.jpg,,13623
C4D化妆品套装建模,初级,学习建模工具，初探建模流程。,http://img4.mukewang.com/5b03c68a000159b506000338-240-135.jpg,,3701
MAYA-贴图基础,入门,二十分钟学懂maya贴图制作流程,http://img3.mukewang.com/5afbe5b30001007e06000338-240-135.jpg,,1873
MySQL集群（PXC）入门,入门,从入门开始学习完全开源的MySQL高可用性解决方案PXC集群,http://img4.mukewang.com/5afd3bee0001afdc06000338-240-135.jpg,,18956
C4D地面多边形建模,初级,C4D初期低面多边形建模,http://img.mukewang.com/5ae96be40001e24e06000338-240-135.jpg,,2828
Storm基础入门,初级,"带你快速入门Storm,对数据进行实时流式计算",http://img1.mukewang.com/5af553c300015fb806000338-240-135.jpg,,11035
Android O(8.0)通知栏解决方案,初级,本课程主要介绍Android 8.0 ChannelNotification的管理。,http://img1.mukewang.com/5adfee7f0001cbb906000338-240-135.jpg,,5270
区块链技术核心概念与原理讲解,入门,登链科技首席技术官(Tiny熊），为你讲解区块链技术核心概念与原理,http://img4.mukewang.com/5ae3e5b80001818c06000338-240-135.jpg,,41842
MAYA-材质基础入门,入门,Maya材质制作基础命令详解，并快速入门Maya材质制作,http://img2.mukewang.com/5ae4458000016dfe05400300-240-135.jpg,,1741
Unity 3D基础之变体Transform,初级,Unity 组件Transform控制游戏对象,http://img.mukewang.com/5aec13530001805d06000338-240-135.jpg,,3213
推荐算法理论与实践,中级,想要了解商品推荐背后的原理吗，课程将手把手带你做一个推荐系统！,http://img.mukewang.com/5aeecb1d0001e5ea06000338-240-135.jpg,,15274
Android与WebView的js交互,中级,本课程主要介绍Android与WebView的js交互、如何使用Chrome调试。,http://img2.mukewang.com/5ae19cf20001e95506000338-240-135.jpg,,8051
Kubernetes基础：开启云原生之门,中级,"重新定义了未来十年基础设施承载云原生应用的形式,最为火爆的平台技术。",http://img2.mukewang.com/5ad069010001005a06000338-240-135.jpg,,12279
Android UiAutomator 2.0 入门实战,入门,"零基础学习UiAutomator 2.0自动化测试,学会编写 Android 自动化测试用例",http://img4.mukewang.com/5adecab10001991306000338-240-135.jpg,,10036
iOS开发之传感器,高级,结合实际Demo演示并讲解加速度传感器及角速度传感器！,http://img1.mukewang.com/5ad5cc9c0001c91906000338-240-135.jpg,,2233
Go并发编程案例解析,中级,课程带你通过一个真实的线上日志监控系统学习Golang以及并发的编程思想。,http://img4.mukewang.com/5ad9c04900010ee306000338-240-135.jpg,,9558
React知识点综合运用实例,高级,react综合案例操作，技能掌握更纯熟,http://img1.mukewang.com/5ab8d27d00010ac006000338-240-135.jpg,,13362
vue2.5入门,中级,快速理解Vue编程理念上手Vue2.0开发。,http://img.mukewang.com/5ad5cc490001e53006000338-240-135.jpg,,83335
Shiro安全框架入门,中级,从零入门Shiro安全框架,http://img2.mukewang.com/5acd8d3e0001881a06000338-240-135.jpg,,33582
入门微信小程序开发,中级,带你入门微信小程序开发，了解微信小程序的基本知识。,http://img1.mukewang.com/5ac3418d0001a9b806000338-240-135.jpg,,119617
MAYA动画入门课-飞机飞行,初级,掌握Maya动画基础操作命令并制作简单的动画飞机飞行,http://img1.mukewang.com/5ac2dec100014aae05400300-240-135.jpg,,6732
电商banner设计制作,入门,本堂课讲解一个促销活动类电商banner的设计方法。,http://img4.mukewang.com/5ac43bbc0001574b06000338-240-135.jpg,,12212
MAYA-Polygon多边形建模,入门,熟练使用 Polygon多边形建模命令，并能动手制作简单的多边形模型,http://img1.mukewang.com/5ab8702c00016cce05400300-240-135.jpg,,1592
Python实现线性回归,初级,掌握python进行线性回归分析的原理及编程实践,http://img2.mukewang.com/5abc6159000142f706000338-240-135.jpg,,21224
MAYA-2017初识与基础操作,入门,本套课程针对零基础学员，帮助学员快速了解Maya轻松入门,http://img1.mukewang.com/5ab870920001bf5806000338-240-135.jpg,,3882
Ruff物联网应用开发入门,初级,Ruff物联网应用开发入门,http://img2.mukewang.com/5aa77f4c0001f0a706000338-240-135.jpg,,6981
iOS开发之网络协议,初级,了解HTTP发展历程，熟悉网络工作流程！,http://img2.mukewang.com/5aaf826f00017e6306000338-240-135.jpg,,4191
GO语言语法入门篇,入门,Go编译的程序可以媲美C或C++代码的速度，更加安全、支持并行进程,http://img3.mukewang.com/5aaf5f370001c40306000338-240-135.jpg,,33958
C4D创意M字母教程,初级,"带你综合运用C4D基础知识，完成案例实践
，让你的设计升个维度！",http://img1.mukewang.com/5aaf1f110001a0e105400300-240-135.jpg,,3029
AWS的入门与使用,初级,面向初级架构师介绍AWS，帮助你的项目做初期的云平台选择。,http://img4.mukewang.com/5aa730f200015ced05400300-240-135.jpg,,7378
移动端音频视频入门,初级,移动端音视频开发必备基础知识,http://img2.mukewang.com/5aa63e9600018a7f06000338-240-135.jpg,,12774
SpringBoot开发常用技术整合,中级,SpringBoot 极简开发的框架整合利器,http://img4.mukewang.com/5a9f83e90001f06306000338-240-135.jpg,,64270
React响应用户输入,高级,带你了解如何监听事件以及指定事件处理器的知识,http://img.mukewang.com/5a9e334d0001c8be05400300-240-135.jpg,,9439
C4D零基础入门（下）,入门,带你了解C4D中常用的工具的使用，让你的设计升个维度！,http://img3.mukewang.com/5a95227b00014f2206000338-240-135.jpg,,4088
ES6快速入门,初级,用最通俗、形象的方法描述ES6的强大并教会你正确的学习方法。,http://img3.mukewang.com/5a97d4000001d97906000338-240-135.jpg,,55532
web端功能自动化定位元素,初级,"页面元素高级定位方式,在不同的浏览器上查看元素，Xpath，CSS定位",http://img.mukewang.com/5a9371160001ecb106000338-240-135.jpg,,9119
MyCAT入门及应用,初级,从实际生产环境应用MyCAT入手，讲解数据库中间件和MyCAT的基础应用。,http://img3.mukewang.com/5a93aa610001eb2706000338-240-135.jpg,,13698
Promise 入门,中级,带你入门 Promise。,http://img3.mukewang.com/5a93556000017ae906000338-240-135.jpg,,22417
ajax跨域完全讲解,中级,完全讲解Ajax跨域产生的原因和解决思路，掌握跨域的各种解决方案,http://img3.mukewang.com/5a7d64da0001032d06000338-240-135.jpg,,51158
